Key,Title,Brengdelict
1.1.1 ,1.1.1 Diefstal/inbraak woning,1
1.1.2 ,1.1.2 Diefstal/inbraak box/garage/schuur,1
1.2.1 ,1.2.1 Diefstal uit/vanaf motorvoertuigen,1
1.2.2 ,1.2.2 Diefstal van motorvoertuigen,1
1.2.3 ,"1.2.3 Diefstal van brom-, snor-, fietsen",1
1.2.4 ,1.2.4 Zakkenrollerij,1
1.2.5 ,1.2.5 Diefstal af/uit/van ov. voertuigen,1
1.3.1 ,1.3.1 Ongevallen (weg),0
1.4.1 ,1.4.1 Zedenmisdrijf,1
1.4.2 ,"1.4.2 Moord, doodslag",1
1.4.3 ,1.4.3 Openlijk geweld (persoon),1
1.4.4 ,1.4.4 Bedreiging,1
1.4.5 ,1.4.5 Mishandeling,1
1.4.6 ,1.4.6 Straatroof,1
1.4.7 ,1.4.7 Overval,1
1.5.2 ,1.5.2 Diefstallen (water),1
1.6.1 ,1.6.1 Brand/ontploffing,1
1.6.2 ,1.6.2 Overige vermogensdelicten,1
1.6.3 ,1.6.3 Mensenhandel,1
2.1.1 ,2.1.1 Drugs/drankoverlast,0
2.2.1 ,2.2.1 Vernieling cq. zaakbeschadiging,1
2.4.1 ,2.4.1 Burengerucht (relatieproblemen),0
2.4.2 ,2.4.2 Huisvredebreuk,1
2.5.1 ,2.5.1 Diefstal/inbraak bedrijven enz.,1
2.5.2 ,2.5.2 Winkeldiefstal,1
2.6.1 ,2.6.1 Inrichting Wet Milieubeheer,0
2.6.2 ,2.6.2 Bodem,0
2.6.3 ,2.6.3 Water,0
2.6.4 ,2.6.4 Afval,0
2.6.5 ,2.6.5 Bouwstoffen,0
2.6.7 ,2.6.7 Mest,0
2.6.8 ,2.6.8 Transport gevaarlijke stoffen,0
2.6.9 ,2.6.9 Vuurwerk,0
2.6.10,2.6.10 Bestrijdingsmiddelen,0
2.6.11,2.6.11 Natuur en landschap,0
2.6.12,2.6.12 Ruimtelijke ordening,0
2.6.13,2.6.13 Dieren,0
2.6.14,2.6.14 Voedselveiligheid,0
2.7.2 ,2.7.2 Bijzondere wetten,0
2.7.3 ,2.7.3 Leefbaarheid (overig),1
3.1.1 ,3.1.1 Drugshandel,0
3.1.2 ,3.1.2 Mensensmokkel,1
3.1.3 ,3.1.3 Wapenhandel,0
3.2.1 ,3.2.1 Kinderporno,0
3.2.2 ,3.2.2 Kinderprostitutie,0
3.3.2 ,3.3.2 Onder invloed (lucht),0
3.3.5 ,3.3.5 Lucht (overig),0
3.4.2 ,3.4.2 Onder invloed (water),0
3.5.2 ,3.5.2 Onder invloed (weg),0
3.5.5 ,3.5.5 Weg (overig),0
3.6.4 ,3.6.4 Aantasting openbare orde,1
3.7.1 ,3.7.1 Discriminatie,1
3.7.2 ,3.7.2 Vreemdelingenzorg,0
3.7.3 ,3.7.3 Maatsch. integriteit (overig),1
3.7.4 ,3.7.4 Cybercrime,1
3.9.1 ,3.9.1 Horizontale fraude,1
3.9.2 ,3.9.2 Verticale fraude,1
3.9.3 ,3.9.3 Fraude (overig),1
